word,option,meaning
昇進,しょうしん,승진
嫌がる,いやがる,싫어하다
宣伝,せんでん,선전
こっそり,,"몰래, 살짝, 가만히"
積む,つむ,쌓다
素敵,すてき,"멋있다, 훌륭하다"
出席,しゅっせき,출석
触れる,ふれる,"만지다, 닿다"
議員,ぎいん,국회의원
冷める,さめる,식다
とうとう,,"결국, 드디어, 마침내"
両替,りょうがえ,환전
通りかかる,とおりかかる,마침 지나가다
大勢,おおぜい,많은 사람
あきっぱい,,싫증을 잘내다
空ける,あける,비우다
地域,ちいき,지역
窓際,まどぎわ,창가
ずうずうしい,,뻔뻔하다
控える,ひかえる,"삼가다, 줄이다, 대기하다, 메모하다, 앞두다"
はく,,쓸다
退屈,たいくつ,"따분하다, 무료하다"
詰める,つめる,"꽉 채우다, 사이를 좁히다"
おろす,,"내리다, 찾다"
しつける,,(예의범절을) 가르치다
がっしり,,"튼튼하고 실팍한 모양, 다부짐"
診察,しんさつ,진찰
知識,ちしき,지식
捕まる,つかまる,잡히다
裏付ける,うらづける,뒷받침하다
浪人,ろうにん,재수생
返品,へんぴん,반품
加える,くわえる,"더하다, 가하다"
選挙,せんきょ,선거
息苦しい,いきぐるしい,"숨막히다, 답답하다"
塾,じゅく,학원
押す,おす,"밀다, 누르다"
運賃,うんちん,운임
情けない,なさけない,한심하다
書店,しょてん,서점
感心,かんしん,"감탄, 어이없음"
含める,ふくめる,"포함시키다, 내포하다"
治まる,おさまる,"가라앉다, 다스리다"
自己,じこ,"자기, 자신"
いら立つ,いらだつ,"초조해하다, 안달하다"
矢印,やじるし,화살표
厳しい,きびしい,"엄하다, 혹독하다"
基づく,もとづく,"근거하다, 기인하다"
値引き,ねびき,값을 깎음